Number,Total_Total,Total_Males,Total_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
Fort Canning,160,80,80,70,30,40,na,na,na,30,20,10,60,40,30
Newton- Total,6920,3240,3680,4870,2200,2670,60,20,40,780,390,390,1210,630,580
Cairnhill,3330,1560,1770,2390,1080,1310,20,10,20,390,190,210,530,280,250
Goodwood Park,910,420,490,680,300,380,10,na,na,90,50,40,130,70,60
Istana Negara,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Monk'S Hill,980,480,510,710,330,380,10,na,10,120,70,50,150,80,70
Newton Circus,230,110,110,130,60,60,na,na,na,30,10,10,70,40,30
Orange Grove,1440,650,780,950,420,530,20,na,10,130,60,70,340,170,170
North-Eastern Islands- Total,60,na,na,na,na,na,na,na,na,na,na,na,na,na,na
North-Eastern Islands,60,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Novena- Total,47990,23160,24830,38840,18640,20200,2110,1030,1080,4210,2150,2060,2830,1340,1480
Balestier,32340,15700,16640,25930,12520,13410,1990,980,1020,3130,1600,1530,1290,600,690
Dunearn,3900,1790,2110,3250,1480,1770,20,10,10,300,150,150,340,160,180
Malcolm,2630,1190,1440,2130,960,1180,20,10,10,140,70,70,340,160,180
Moulmein,8470,4160,4310,7040,3440,3600,80,40,40,590,310,280,770,380,390
Mount Pleasant,650,320,330,500,250,250,10,na,na,50,20,30,90,40,50
Orchard- Total,920,430,500,620,270,350,10,10,10,70,30,40,220,120,100
Boulevard,400,200,210,290,130,160,10,na,na,20,10,10,90,60,30
Somerset,130,60,70,90,30,50,na,na,na,10,10,10,30,20,10
Tanglin,390,170,220,240,100,140,na,na,na,40,20,20,110,50,60
Outram- Total,22080,11100,10980,18020,8960,9060,1930,990,950,1590,880,710,540,270,270
China Square,1590,760,830,1540,740,800,10,na,na,20,10,10,30,10,10
Chinatown,11880,5720,6150,10060,4790,5270,620,310,310,870,440,430,330,180,160
Pearl'S Hill,8230,4430,3800,6060,3260,2800,1310,670,640,680,420,260,180,80,100
People'S Park,390,190,200,360,180,190,na,na,na,10,10,na,10,na,10
Pasir Ris- Total,139890,69150,70740,93910,46160,47750,28420,14120,14310,11920,6160,5760,5640,2720,2920
Flora Drive,12950,6350,6610,10160,4930,5230,1070,510,560,1160,610,550,560,290,280
Loyang East,2190,1070,1120,1640,820,820,90,40,50,260,120,140,200,90,110
Loyang West,200,100,110,150,70,80,30,10,10,10,10,na,10,10,na
Pasir Ris Central,25730,12700,13030,18900,9300,9600,3790,1870,1930,2080,1070,1010,960,460,500
Pasir Ris Drive,59480,29520,29970,36120,17800,18320,16020,8010,8020,5000,2600,2400,2340,1110,1230
Pasir Ris Park,2980,1460,1520,2240,1080,1160,330,160,180,220,120,100,190,110,80
Pasir Ris Wafer Fab Park,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Pasir Ris West,36330,17950,18390,24690,12150,12540,7090,3520,3570,3180,1620,1560,1370,660,720
Paya Lebar- Total,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Airport Road,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Paya Lebar East,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Paya Lebar North,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Paya Lebar West,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Plab,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Pioneer- Total,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Benoi Sector,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gul Basin,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gul Circle,30,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joo Koon,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Pioneer Sector,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Punggol- Total,109750,54100,55650,84890,41890,43010,14480,7090,7390,7720,3960,3760,2670,1170,1500
Coney Island,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Matilda,30440,14960,15480,23290,11510,11780,4450,2150,2310,1990,1000,990,700,300,410
Northshore,280,150,140,240,120,120,na,na,na,30,20,10,20,10,10
Punggol Canal,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Punggol Field,43300,21310,21990,33980,16690,17280,4670,2280,2400,3400,1760,1640,1250,580,670
Punggol Town Centre,7390,3600,3790,6030,2920,3110,860,440,420,350,170,180,160,70,90
Waterway East,28340,14090,14260,21360,10650,10720,4490,2230,2260,1950,1000,950,540,220,330
Queenstown- Total,98050,46230,51820,77390,36100,41290,8720,4230,4490,8000,4040,3950,3950,1850,2100
Commonwealth,8130,3830,4300,6030,2810,3220,1170,560,610,590,310,280,350,150,200
Dover,13200,6350,6850,10460,5000,5470,1050,520,530,1220,620,590,470,220,250
Ghim Moh,11900,5590,6320,9240,4310,4930,1530,730,800,820,420,410,310,130,180
Holland Drive,14230,6510,7710,11790,5350,6440,1190,550,640,760,390,370,480,230,260
Kent Ridge,1080,520,560,670,310,370,20,10,10,200,110,90,190,90,100
Margaret Drive,10520,4980,5540,9010,4240,4770,330,160,170,850,410,430,330,160,170
Mei Chin,16750,7930,8820,13050,6150,6900,1520,740,780,1740,850,890,450,200,250
National University Of S'Pore,360,100,260,320,80,240,10,na,na,10,10,10,20,10,20
One North,620,300,320,410,180,220,na,na,na,40,30,20,170,90,80
Pasir Panjang 1,4010,1920,2090,3410,1620,1800,40,20,20,240,110,120,320,170,140
Pasir Panjang 2,3520,1710,1810,2820,1350,1470,80,40,40,240,130,120,370,190,190
Port,140,70,70,120,60,60,na,na,na,10,10,10,10,na,na
Queensway,280,140,140,200,100,110,10,na,10,30,20,10,40,20,10
Singapore Polytechnic,160,80,80,120,60,60,na,na,na,30,10,10,10,10,10
Tanglin Halt,13160,6200,6960,9750,4510,5240,1770,880,880,1220,620,600,440,200,240
River Valley- Total,9190,4260,4930,6440,2940,3510,90,30,60,1270,590,680,1400,710,690
Institution Hill,3380,1600,1780,2440,1140,1300,30,10,20,480,230,260,430,220,210
Leonie Hill,2450,1120,1320,1510,700,820,30,10,20,500,220,280,410,200,210
One Tree Hill,1840,840,1010,1280,570,710,20,10,10,210,90,120,340,170,170
Oxley,1380,640,740,1100,480,620,20,10,10,70,40,30,190,110,90
Paterson,150,70,80,120,50,70,na,na,na,10,10,na,30,20,10
Rochor- Total,14590,7410,7180,10470,5100,5370,640,300,330,2960,1720,1240,530,290,240
Bencoolen,1460,700,760,1040,480,560,40,20,20,300,150,150,80,40,40
Farrer Park,3130,1630,1500,2090,1040,1050,70,30,40,910,530,380,60,20,40
Kampong Glam,170,120,60,60,30,20,30,20,10,70,50,20,20,20,na
Little India,3850,2030,1820,2810,1390,1420,30,20,20,970,600,370,40,20,20
Mackenzie,110,60,50,80,40,40,na,na,na,20,10,10,10,10,10
Mount Emily,1110,530,580,830,370,460,20,10,10,70,40,30,190,110,80
Rochor Canal,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Selegie,270,150,130,180,90,90,na,na,na,70,40,30,30,10,10
Sungei Road,2420,1230,1190,1610,830,780,420,210,210,350,180,180,40,20,20
Victoria,2060,980,1090,1780,830,950,20,10,20,200,110,90,60,30,30
Seletar- Total,270,140,140,170,80,90,na,na,na,40,20,20,60,30,30
Pulau Punggol Barat,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Pulau Punggol Timor,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Seletar,260,130,130,160,80,90,na,na,na,30,20,10,60,30,30
Seletar Aerospace Park,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sembawang- Total,76530,37910,38620,55690,27450,28240,10320,5060,5260,7190,3750,3430,3330,1640,1690
Admiralty,14410,7120,7280,10240,5060,5180,2290,1120,1170,1330,670,660,540,270,270
Sembawang Central,29140,14340,14800,21390,10460,10930,3720,1830,1890,2690,1380,1310,1350,660,680
Sembawang East,90,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sembawang North,26860,13390,13470,19130,9500,9640,4040,1980,2060,2450,1310,1140,1230,600,630
Sembawang Springs,4290,2090,2200,3550,1730,1830,150,70,90,460,250,220,120,60,70
Sembawang Straits,1700,890,820,1270,650,620,100,50,50,240,130,110,90,50,30
Senoko North,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Senoko South,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
The Wharves,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sengkang- Total,206680,101790,104890,160590,79070,81520,22580,11120,11460,18200,9230,8970,5310,2380,2930
Anchorvale,38040,18680,19360,29590,14500,15090,3960,1970,1990,3440,1740,1700,1050,470,580
Compassvale,18510,9040,9470,15750,7680,8070,1430,700,730,1030,520,500,310,140,170
Fernvale,35590,17560,18030,27000,13330,13670,5170,2570,2600,2490,1290,1200,940,380,560
Lorong Halus North,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Rivervale,59860,29590,30270,45460,22530,22930,6820,3330,3490,6060,3020,3040,1510,710,800
Sengkang Town Centre,54680,26920,27750,42780,21020,21760,5210,2560,2650,5190,2660,2530,1510,680,830
Sengkang West,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Serangoon- Total,120670,58380,62290,101460,48880,52580,5170,2580,2590,10740,5370,5370,3310,1560,1750
Lorong Chuan,8390,4010,4380,7570,3610,3960,50,20,20,420,210,220,350,170,180
Seletar Hills,13580,6710,6870,12040,5910,6130,150,60,80,930,490,440,460,250,210
Serangoon Central,26480,12660,13820,22110,10510,11610,1180,600,590,2600,1290,1300,590,270,320
Serangoon Garden,39180,18750,20420,32530,15490,17030,1980,1010,980,3480,1710,1770,1190,540,650
Serangoon North,17490,8660,8830,13810,6830,6980,1310,650,660,1980,1010,970,380,170,210
Serangoon North Ind Estate,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Upper Paya Lebar,15540,7580,7960,13380,6520,6860,500,240,260,1330,670,670,330,160,170
Simpang- Total,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Pulau Seletar,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Simpang North,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Simpang South,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tanjong Irau,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Singapore River- Total,2720,1310,1410,1870,840,1030,10,10,10,220,120,100,620,350,270
Boat Quay,180,100,80,110,60,50,na,na,na,20,10,10,50,40,20
Clarke Quay,130,80,50,70,40,30,na,na,na,20,10,10,30,20,10
Robertson Quay,2420,1130,1290,1690,740,950,10,10,10,180,100,90,530,290,240
Southern Islands- Total,1480,720,760,810,360,440,20,10,20,150,70,70,500,280,220
Sentosa,1470,720,760,810,360,440,20,10,20,150,70,70,500,280,220
Southern Group,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Straits View- Total,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Straits View,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sungei Kadut- Total,850,430,420,710,360,350,na,na,na,110,60,50,30,10,20
Gali Batu,130,50,80,110,40,70,na,na,na,10,10,na,10,na,10
Kranji,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Pang Sua,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Reservoir View,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Turf Club,660,330,330,550,280,270,na,na,na,90,40,50,20,10,10
Tampines- Total,261230,128200,133030,175470,85610,89860,56010,27770,28240,21560,11010,10550,8200,3820,4380
Simei,42710,20720,21990,30950,14930,16030,5130,2520,2610,4810,2420,2400,1820,850,960
Tampines East,138500,67900,70600,89310,43580,45730,34020,16800,17220,10800,5500,5300,4360,2020,2340
Tampines North,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tampines West,78110,38610,39500,53600,26290,27300,16790,8410,8380,5800,3010,2790,1920,890,1030
Xilin,1920,970,950,1610,810,800,70,30,40,140,80,60,100,50,50
Tanglin- Total,19000,8770,10230,14160,6410,7750,190,80,110,1930,920,1010,2720,1360,1360
Chatsworth,5740,2640,3100,3960,1800,2160,50,20,30,860,400,460,870,430,440
Nassim,8340,3820,4510,6530,2930,3600,90,40,50,640,330,320,1080,530,540
Ridout,1400,650,760,1040,470,580,na,na,na,140,60,70,220,120,110
Tyersall,3520,1660,1860,2630,1220,1410,50,20,30,290,130,160,550,290,270
Tengah- Total,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tengah,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Toa Payoh- Total,124940,59840,65100,102230,48620,53610,9920,4910,5010,9290,4710,4570,3510,1600,1920
Bidadari,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Boon Teck,15110,7340,7770,11350,5480,5870,2280,1120,1160,1200,620,570,290,120,160
Braddell,10760,5160,5610,8360,3930,4430,1330,670,650,760,400,370,310,160,160
Joo Seng,6720,3360,3360,5780,2880,2900,240,120,110,550,290,270,150,70,80
Kim Keat,8610,4180,4430,7050,3420,3630,530,260,270,810,400,410,220,100,120
Lorong 8 Toa Payoh,8220,3970,4250,6730,3240,3490,760,370,380,540,280,270,190,80,100
Pei Chun,11780,5670,6120,9700,4650,5060,1010,500,510,730,380,350,340,140,200
Potong Pasir,12650,6260,6400,10330,5060,5270,680,350,330,1410,740,670,240,110,130
Sennett,4540,2160,2380,4100,1950,2150,70,30,40,280,140,140,90,40,50
Toa Payoh Central,30740,14410,16340,25390,11850,13540,2380,1170,1210,1990,940,1040,990,450,550
Toa Payoh West,13360,6140,7220,11230,5090,6150,620,310,320,900,470,430,600,280,320
Woodleigh,2440,1200,1240,2200,1080,1130,20,10,10,120,60,60,100,50,50
Tuas- Total,70,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tengeh,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas Bay,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas North,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas Promenade,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas View,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tuas View Extension,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Western Islands- Total,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jurong Island And Bukom,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Semakau,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sudong,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Western Water Catchment- Total,900,400,500,730,320,410,na,na,na,90,40,50,70,30,40
Western Water Catchment,900,400,500,730,320,410,na,na,na,90,40,50,70,30,40
Woodlands- Total,250290,125900,124380,153780,77070,76710,62310,31360,30960,27810,14480,13330,6380,3000,3380
Greenwood Park,70,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Midview,35510,17780,17730,21130,10550,10580,9680,4810,4870,3920,2060,1860,790,360,430
North Coast,14610,7450,7160,8140,4180,3960,4240,2130,2110,1950,1000,940,280,130,140
Senoko West,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Woodgrove,35850,17960,17880,22880,11330,11550,8340,4250,4090,3730,1970,1760,910,420,490
Woodlands East,95510,47840,47660,60560,30240,30320,21560,10760,10800,10730,5590,5150,2660,1260,1400
Woodlands Regional Centre,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Woodlands South,35840,17970,17860,21710,10790,10930,9130,4630,4500,3910,2010,1900,1080,540,540
Woodlands West,32890,16850,16040,19310,9960,9350,9360,4770,4590,3560,1840,1720,670,280,390
Yishun- Total,201970,99990,101980,142300,70230,72060,33940,16950,16990,20230,10310,9920,5510,2500,3010
Khatib,10850,5300,5550,8100,3980,4120,1390,670,710,1050,510,550,310,150,160
Lower Seletar,2870,1410,1450,2220,1090,1130,340,160,180,230,120,110,80,50,30
Nee Soon,900,440,470,790,380,420,30,10,10,50,30,20,30,20,10
Northland,30380,15130,15260,20070,10020,10040,6030,3000,3040,3190,1600,1580,1100,510,590
Springleaf,3880,1930,1940,3560,1780,1790,30,10,20,190,100,90,100,50,50
Yishun Central,1490,740,750,1200,590,610,140,70,70,130,70,60,30,10,20
Yishun East,54880,27190,27690,37680,18640,19040,10500,5210,5290,5350,2760,2600,1340,590,760
Yishun South,38840,19050,19790,28880,14130,14750,4960,2470,2490,4010,2020,2000,990,440,550
Yishun West,57890,28790,29090,39800,19630,20160,10520,5350,5180,6040,3110,2920,1530,700,830
